title,link,rubric,date,image_url,club_tags,league,scraped_at
Вратарь «Баварии» Ульрайх сообщил о смерти сына после продолжительной болезни1 августа 12:30,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2227707_Vratar_Bavarii_Ulrajkh_soobshhil_o_smerti_syna_posle_prodolzhitelnoj_bolezni,Германия,1 августа 12:30,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
Луис Диас перешел в «Баварию» из «Ливерпуля» за 75 миллионов евро30 июля 11:44,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2227019_Luis_Dias_pereshel_v_Bavariju_iz_Liverpula_za_75_millionov_jevro,Германия,30 июля 11:44,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Лион,Бундеслига,2025-10-14 09:32:05
«Ливерпуль» объявил о переходе Экитике за 95 миллионов евро c учетом бонусов23 июля 21:59,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2224638_Liverpul_objavil_o_perehode_Ekitike_za_95_millionov_jevro_c_uchetom_bonusov,Англия,23 июля 21:59,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Ливерпуль, Лион",Бундеслига,2025-10-14 09:32:05
Менхенгладбахская «Боруссия» и «Фрайбург» сыграли вничью в матче чемпионата Германии5 октября 22:50,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2252652_Menkhengladbahskaja_Borussija_i_Frajburg_sygrali_vnichju_v_matche_chempionata_Germanii,Европа,5 октября 22:50,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Боруссия Дортмунд,Бундеслига,2025-10-14 09:32:08
«Бавария» разгромила «Айнтрахт» в матче чемпионата Германии4 октября 21:34,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2251959_Bavarija_razgromila_Ajntraht_v_matche_chempionata_Germanii,Германия,4 октября 21:34,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:08
Дортмундская «Боруссия» сыграла вничью с «Лейпцигом» в матче чемпионата Германии4 октября 18:37,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2251814_Dortmundskaja_Borussija_sygrala_vnichju_s_Lejpcigom_v_matche_chempionata_Germanii,Германия,4 октября 18:37,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Боруссия Дортмунд, РБ Лейпциг",Бундеслига,2025-10-14 09:32:08
"Президент «Байера» призвал ввести потолок зарплат в футболе, чтобы ограничить влияние клубов АПЛ на трансферном рынке30 сентября 11:06",https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2250293_Prezident_Bajjera_prizval_vvesti_potolok_zarplat_v_futbole_chtoby_ogranichit_vlijanije_klubov_APL_na_transfernom_rynke,Германия,30 сентября 11:06,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:08
«Лейпциг» обыграл «Вольфсбург» и выиграл четвертый матч подряд в Бундеслиге27 сентября 18:39,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2249166_Lejpcig_obygral_Volfsburg_i_vyigral_chetvertyj_match_podrad_v_Bundeslige,Германия,27 сентября 18:39,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"РБ Лейпциг, Вольфсбург",Бундеслига,2025-10-14 09:32:08
"Кейн: «Пока не собираюсь в Англию, «Бавария» — лучшее место для завоевания трофеев»27 сентября 02:11",https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2248900_Kejn_Poka_ne_sobirajus_v_Angliju_Bavarija__luchsheje_mesto_dla_zavojevanija_trofejev,Германия,27 сентября 02:11,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:08
Дубль Кейна помог «Баварии» разгромить «Вердер» в матче чемпионата Германии26 сентября 23:40,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2248881_Dubl_Kejna_pomog_Bavarii_razgromit_Verder_v_matche_chempionata_Germanii,Европа,26 сентября 23:40,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:08
